EmployeeID,Age,Department,Location,Salary,SatisfactionScore,PerformanceScore,InnovationIndex,RetentionRisk,NeurodiversityStatus
98,43,Audio,Vancouver,82752,5.783,5.434,64.571,0.748,Neurotypical
99,30,Game Design,London,96402,9.935,3.102,76.032,0.372,Neurotypical
100,36,Management,London,74241,1.621,5.275,75.548,0.778,Neurotypical
101,27,Programming,Seoul,99021,3.375,7.462,34.696,0.005,Neurodiverse
102,54,Game Design,Seoul,88197,5.848,3.803,57.081,0.912,Neurotypical
103,54,Production,Paris,114079,8.14,6.706,61.394,0.596,Neurotypical
104,52,Programming,Seoul,139979,1.169,2.379,23.485,0.566,Neurodiverse
105,24,Programming,Shanghai,86533,7.595,3.502,0.82,0.561,Neurotypical
106,61,Programming,Berlin,127897,2.259,8.955,9.928,0.04,Neurotypical
107,58,Programming,Tokyo,139832,8.476,6.64,3.458,0.949,Neurotypical
108,60,Audio,Montreal,124381,7.23,1.773,29.865,0.764,Neurotypical
109,47,Management,Tokyo,129283,5.109,3.382,32.594,0.716,Neurotypical
110,26,Production,Tokyo,133093,8.394,9.946,86.599,0.701,Neurotypical
111,28,Audio,Los Angeles,117203,7.597,3.431,12.493,0.544,Neurodiverse
112,27,Quality Assurance,Seoul,96963,7.833,6.225,18.509,0.623,Neurotypical
113,31,Production,Shanghai,81034,3.611,5.953,62.003,0.924,Neurotypical
114,53,Audio,Los Angeles,64143,6.575,4.621,46.915,0.361,Neurotypical
115,52,Game Design,Los Angeles,118857,2.27,1.304,99.326,0.598,Neurodiverse
116,42,Audio,Berlin,157135,8.388,3.559,76.196,0.39,Neurotypical
117,43,Production,Berlin,140593,5.741,9.58,27.034,0.119,Neurotypical
118,56,Production,Vancouver,143415,8.424,1.173,72.154,0.145,Neurotypical
119,54,Game Design,Berlin,119662,2.9,7.441,22.834,0.065,Neurotypical
120,63,Marketing,Shanghai,69177,2.173,9.035,68.158,0.39,Neurotypical
121,59,Management,Vancouver,124835,7.201,7.861,3.652,0.349,Neurotypical
122,41,Production,Stockholm,96051,1.526,3.909,19.96,0.124,Neurotypical
123,46,Audio,Paris,121721,3.196,5.684,10.263,0.449,Neurotypical
124,54,Game Design,Stockholm,102937,9.178,8.808,42.895,0.213,Neurotypical
125,20,Programming,Tokyo,109778,2.195,9.779,55.339,0.101,Neurotypical
126,54,Management,Los Angeles,149924,4.38,1.873,25.943,0.322,Neurotypical
127,56,Production,Shanghai,145203,9.51,2.119,97.851,0.674,Neurodiverse
128,33,Management,Vancouver,158214,1.18,9.602,41.058,0.037,Neurotypical
129,22,Management,Stockholm,123993,5.008,8.854,56.177,0.686,Neurodiverse
130,20,Art & Animation,Los Angeles,65942,8.078,2.9,46.353,0.143,Neurodiverse
131,24,Management,Shanghai,117659,9.181,9.731,86.317,0.909,Neurotypical
132,45,Programming,Montreal,67894,7.62,2.881,37.071,0.098,Neurotypical
133,33,Quality Assurance,Montreal,152156,8.996,1.797,94.309,0.191,Neurotypical
134,58,Management,Montreal,103927,1.309,7.137,80.497,0.228,Neurotypical
135,46,Production,Paris,159434,1.899,5.858,7.565,0.663,Neurotypical
136,28,Game Design,Berlin,146140,7.64,3.157,88.329,0.811,Neurotypical
137,34,Programming,Paris,106160,7.78,9.355,18.157,0.53,Neurotypical
138,34,Audio,Paris,86190,6.447,4.638,5.955,0.744,Neurotypical
139,45,Audio,Shanghai,58431,7.572,4.626,22.165,0.887,Neurodiverse
140,61,Production,Shanghai,107394,8.722,6.686,8.52,0.611,Neurotypical
141,32,Marketing,Tokyo,151311,5.909,3.077,62.22,0.31,Neurotypical
142,51,Art & Animation,Vancouver,107819,9.526,6.282,44.749,0.153,Neurotypical
143,58,Production,London,82338,7.248,4.276,47.483,0.589,Neurotypical
144,51,Game Design,Montreal,142116,5.248,7.255,61.659,0.836,Neurotypical
145,23,Programming,Seoul,81583,4.794,3.229,49.838,0.19,Neurotypical
146,49,Art & Animation,Los Angeles,63913,7.752,2.669,99.16,0.999,Neurotypical
147,56,Marketing,London,145101,6.674,3.248,62.373,0.127,Neurotypical
148,42,Production,Seoul,64860,8.357,9.423,58.621,0.039,Neurotypical
149,58,Quality Assurance,Shanghai,82924,8.029,8.643,41.441,0.686,Neurotypical
150,64,Art & Animation,London,154646,5.718,8.46,44.639,0.365,Neurotypical
151,34,Marketing,Tokyo,145231,9.511,8.026,98.95,0.67,Neurotypical
152,62,Production,Montreal,123134,7.338,6.733,0.549,0.181,Neurotypical
153,48,Management,Berlin,87529,2.808,1.886,15.545,0.187,Neurotypical
154,55,Production,Los Angeles,82453,6.566,3.922,34.304,0.502,Neurotypical
155,32,Game Design,Seoul,126511,2.816,6.057,90.441,0.945,Neurotypical
156,51,Production,Montreal,104389,6.03,1.952,93.793,0.375,Neurotypical
157,26,Quality Assurance,Tokyo,158182,8.109,1.271,5.76,0.073,Neurotypical
158,41,Production,Berlin,156227,8.313,1.841,14.162,0.737,Neurodiverse
159,47,Audio,Los Angeles,136090,6.857,1.973,88.223,0.922,Neurotypical
160,21,Marketing,Berlin,104199,8.05,1.986,27.229,0.363,Neurotypical
161,61,Management,Vancouver,81444,5.25,2.712,40.11,0.457,Neurotypical
162,64,Audio,Tokyo,143970,5.956,5.492,0.459,0.951,Neurotypical
163,25,Production,Tokyo,98112,8.916,3.569,49.146,0.748,Neurotypical
164,47,Quality Assurance,Los Angeles,68798,5.438,8.741,86.53,0.669,Neurotypical
165,47,Marketing,Montreal,110147,4.158,8.885,36.459,0.128,Neurodiverse
166,63,Marketing,Montreal,61441,8.173,9.282,88.092,0.581,Neurotypical
167,63,Production,Stockholm,117691,1.454,5.24,34.692,0.86,Neurodiverse
168,39,Quality Assurance,Montreal,97792,9.625,7.966,65.817,0.727,Neurodiverse
169,49,Game Design,Montreal,112942,4.061,6.319,29.363,0.116,Neurotypical
170,30,Management,Vancouver,135677,6.667,2.299,51.474,0.671,Neurodiverse
171,47,Marketing,Berlin,82860,7.169,6.721,82.831,0.805,Neurotypical
172,44,Management,Vancouver,62468,2.234,8.533,84.841,0.382,Neurotypical
173,58,Quality Assurance,Montreal,108014,8.406,4.131,7.653,0.754,Neurotypical
174,52,Art & Animation,London,84911,6.149,7.72,92.93,0.712,Neurodiverse
175,20,Audio,Vancouver,140343,3.951,7.971,52.182,0.332,Neurotypical
176,46,Marketing,Paris,105123,8.656,6.792,21.921,0.742,Neurotypical
177,32,Art & Animation,London,111333,6.626,8.949,83.132,0.64,Neurotypical
178,60,Marketing,Seoul,67986,8.072,2.303,63.522,0.312,Neurotypical
179,22,Game Design,Shanghai,85719,9.931,8.591,50.8,0.536,Neurotypical
180,58,Production,Stockholm,109116,2.172,6.497,81.17,0.457,Neurotypical
181,25,Quality Assurance,Seoul,125794,7.746,8.701,20.385,0.051,Neurotypical
182,27,Marketing,Shanghai,51310,7.819,5.794,58.116,0.683,Neurotypical
183,46,Quality Assurance,Vancouver,156271,8.872,3.952,96.181,0.136,Neurodiverse
184,28,Programming,Paris,146462,4.673,9.075,63.709,0.242,Neurotypical
185,56,Marketing,Shanghai,113798,8.827,8.897,59.881,0.958,Neurotypical
186,52,Game Design,Shanghai,121782,6.759,3.409,2.946,0.231,Neurotypical
187,61,Game Design,Seoul,132078,1.619,7.697,18.265,0.392,Neurodiverse
188,63,Production,Montreal,70162,1.284,1.822,61.214,0.96,Neurotypical
189,43,Production,Stockholm,66761,5.333,1.774,70.266,0.75,Neurotypical
190,34,Art & Animation,Berlin,69679,8.072,5.603,89.983,0.681,Neurodiverse
191,51,Game Design,Paris,124441,4.458,1.322,87.134,0.821,Neurotypical
192,51,Quality Assurance,Shanghai,62379,8.666,4.904,35.985,0.059,Neurotypical
193,43,Programming,Montreal,97770,5.429,8.117,68.986,0.887,Neurotypical
194,60,Management,Berlin,109567,1.237,9.005,46.392,0.252,Neurotypical
195,31,Game Design,Paris,63421,9.763,3.293,47.704,0.154,Neurodiverse
196,58,Marketing,Montreal,144183,5.407,1.693,94.535,0.83,Neurotypical
197,21,Management,Montreal,98938,6.851,6.676,73.279,0.28,Neurodiverse
198,22,Management,Los Angeles,60974,2.794,3.383,96.815,0.239,Neurotypical
199,56,Game Design,Tokyo,52500,3.676,1.211,77.488,0.791,Neurotypical
200,36,Programming,Montreal,110490,5.359,2.181,72.563,0.056,Neurodiverse
201,21,Quality Assurance,Berlin,101015,8.706,9.445,42.758,0.076,Neurotypical
202,21,Marketing,Stockholm,99643,1.918,8.876,10.647,0.813,Neurotypical
203,47,Art & Animation,Tokyo,123649,8.023,8.467,63.036,0.419,Neurotypical
204,42,Art & Animation,Paris,143116,6.214,4.055,46.835,0.846,Neurotypical
205,56,Art & Animation,London,146296,5.497,7.431,59.056,0.789,Neurotypical
206,51,Production,Vancouver,147559,8.889,9.613,28.235,0.558,Neurotypical
207,52,Marketing,Paris,61805,2.063,6.108,19.601,0.75,Neurotypical
208,20,Management,Montreal,158025,9.917,3.998,26.514,0.143,Neurotypical
209,38,Art & Animation,Berlin,57731,8.692,8.194,65.757,0.19,Neurotypical
210,21,Production,Shanghai,149249,3.932,4.873,95.298,0.843,Neurotypical
211,63,Game Design,Seoul,143752,5.064,6.196,99.193,0.341,Neurotypical
212,45,Management,Vancouver,157197,1.225,5.871,80.865,0.005,Neurotypical
213,51,Marketing,Paris,145310,5.748,2.957,95.756,0.953,Neurotypical
214,25,Marketing,Los Angeles,150788,5.929,1.006,28.383,0.712,Neurotypical
215,51,Marketing,Seoul,101907,9.339,9.99,0.354,0.845,Neurotypical
216,23,Audio,Vancouver,155932,4.491,4.751,19.406,0.913,Neurodiverse
217,30,Production,Stockholm,61460,6.136,3.554,63.445,0.631,Neurotypical
218,36,Management,Shanghai,61294,7.666,7.893,89.932,0.503,Neurotypical
219,57,Quality Assurance,Los Angeles,60059,6.477,6.333,91.492,0.151,Neurotypical
220,43,Audio,Vancouver,81856,2.406,8.924,83.065,0.189,Neurotypical
221,24,Audio,Montreal,57817,2.546,8.03,76.236,0.451,Neurotypical
222,53,Audio,Vancouver,143917,2.245,3.536,30.419,0.067,Neurotypical
223,25,Quality Assurance,Berlin,53033,2.96,6.33,8.774,0.787,Neurotypical
224,41,Audio,Berlin,62971,3.955,5.524,52.52,0.558,Neurotypical
225,30,Art & Animation,Berlin,115925,7.657,9.596,33.526,0.926,Neurotypical
226,35,Marketing,Paris,106986,1.548,3.156,12.817,0.625,Neurodiverse
227,52,Management,Shanghai,80995,8.384,3.555,45.829,0.972,Neurotypical
228,28,Management,Shanghai,124971,3.362,9.284,52.558,0.279,Neurodiverse
229,25,Marketing,Paris,69731,6.521,5.12,77.426,0.35,Neurotypical
230,35,Production,Shanghai,50011,5.975,5.115,80.812,0.423,Neurotypical
231,48,Game Design,Berlin,125244,2.386,8.814,46.852,0.295,Neurotypical
232,22,Programming,Berlin,68004,3.586,3.664,92.074,0.796,Neurodiverse
233,39,Art & Animation,London,141869,3.663,7.272,78.866,0.534,Neurotypical
234,55,Quality Assurance,Vancouver,72537,6.614,7.494,43.249,0.455,Neurotypical
235,38,Programming,Shanghai,74836,8.097,4.982,35.025,0.456,Neurodiverse
236,45,Marketing,Tokyo,58511,9.967,4.006,31.788,0.814,Neurotypical
237,22,Audio,Berlin,62473,1.863,7.72,46.371,0.241,Neurotypical
238,38,Management,Vancouver,60468,9.448,3.303,33.031,0.321,Neurotypical
239,39,Production,Seoul,150231,6.054,8.374,46.883,0.93,Neurodiverse
240,51,Production,Los Angeles,105965,4.211,4.748,57.726,0.397,Neurodiverse
241,26,Game Design,Tokyo,118368,3.561,1.165,16.602,0.996,Neurodiverse
242,60,Game Design,Tokyo,138898,2.881,6.123,79.789,0.437,Neurotypical
243,52,Marketing,Los Angeles,136036,6.014,2.75,11.262,0.423,Neurotypical
244,59,Art & Animation,Paris,50015,9.514,5.199,40.434,0.593,Neurodiverse
245,58,Production,Shanghai,126255,2.639,8.275,16.522,0.847,Neurodiverse
246,37,Programming,Tokyo,119402,4.926,2.71,30.393,0.719,Neurotypical
247,59,Game Design,Seoul,65986,2.835,2.873,45.829,0.762,Neurotypical
248,20,Management,Vancouver,144213,2.581,5.265,74.875,0.977,Neurotypical
249,30,Management,Paris,52345,8.801,5.289,62.709,0.796,Neurotypical
250,47,Marketing,Montreal,141052,3.358,5.083,36.073,0.467,Neurotypical
251,44,Art & Animation,Montreal,58450,3.232,7.25,59.095,0.657,Neurotypical
252,42,Marketing,Los Angeles,65349,9.188,3.422,29.632,0.83,Neurotypical
253,50,Marketing,Vancouver,116599,4.474,3.345,83.848,0.169,Neurotypical
254,49,Art & Animation,Vancouver,66659,1.078,1.201,48.318,0.348,Neurotypical
255,61,Art & Animation,Montreal,93751,7.491,4.436,71.676,0.605,Neurotypical
256,54,Art & Animation,Tokyo,150870,5.653,2.762,31.195,0.38,Neurotypical
257,26,Management,Shanghai,71306,7.967,6.324,67.734,0.054,Neurotypical
258,35,Management,Los Angeles,150234,6.133,2.631,92.677,0.94,Neurotypical
259,45,Marketing,Montreal,130476,4.161,9.051,10.777,0.54,Neurotypical
260,21,Game Design,Vancouver,119118,1.599,8.641,59.06,0.635,Neurotypical
261,20,Quality Assurance,Paris,116867,8.793,7.887,50.093,0.719,Neurotypical
262,31,Quality Assurance,Seoul,58066,2.864,8.277,54.098,0.036,Neurotypical
263,24,Marketing,Paris,76132,9.742,9.636,19.46,0.182,Neurotypical
264,56,Marketing,Paris,128772,3.213,3.878,2.71,0.903,Neurodiverse
265,51,Game Design,Shanghai,116015,8.443,9.819,7.127,0.787,Neurotypical
266,28,Art & Animation,Los Angeles,70893,8.099,9.015,28.418,0.066,Neurodiverse
267,60,Marketing,Montreal,118582,5.165,4.257,85.439,0.788,Neurotypical
268,54,Production,Berlin,143706,4.615,8.777,80.686,0.9,Neurotypical
269,38,Management,Vancouver,117024,7.329,9.076,99.542,0.167,Neurotypical
270,35,Audio,Paris,63720,5.757,1.325,74.053,0.063,Neurodiverse
271,22,Art & Animation,Paris,77400,6.688,8.884,35.122,0.863,Neurotypical
272,39,Production,Los Angeles,134012,5.232,4.899,91.825,0.601,Neurotypical
273,43,Management,Stockholm,146028,6.014,8.302,79.067,0.99,Neurotypical
274,52,Marketing,Vancouver,145502,2.702,2.0,69.895,0.705,Neurodiverse
275,43,Audio,Seoul,78946,1.499,2.55,53.615,0.511,Neurotypical
276,30,Production,Berlin,76510,4.203,9.809,71.703,0.246,Neurotypical
277,27,Programming,Montreal,98162,5.193,4.746,95.877,0.7,Neurotypical
278,55,Game Design,London,80199,9.154,8.186,86.228,0.077,Neurotypical
279,57,Management,London,74039,4.725,7.752,19.446,0.416,Neurodiverse
280,59,Audio,Vancouver,156639,4.905,8.074,9.763,0.347,Neurotypical
281,39,Marketing,Montreal,69188,7.073,7.882,1.658,0.603,Neurodiverse
282,54,Quality Assurance,Stockholm,158382,2.861,9.226,71.282,0.222,Neurotypical
283,44,Production,Seoul,57990,8.845,6.333,27.891,0.163,Neurodiverse
284,54,Marketing,Berlin,142706,4.849,4.829,71.822,0.15,Neurotypical
285,44,Quality Assurance,Stockholm,58975,9.377,9.327,18.415,0.311,Neurodiverse
286,48,Game Design,Berlin,54273,3.441,4.213,43.673,0.863,Neurotypical
287,37,Game Design,London,142941,5.19,6.676,1.36,0.397,Neurodiverse
288,37,Art & Animation,Tokyo,121997,8.003,8.697,10.865,0.891,Neurotypical
289,21,Production,London,90326,6.003,9.244,8.143,0.747,Neurodiverse
290,54,Art & Animation,Tokyo,101350,6.951,9.545,79.059,0.715,Neurotypical
291,35,Quality Assurance,Montreal,143630,3.526,6.939,90.44,0.768,Neurotypical
292,60,Quality Assurance,Vancouver,58732,3.956,7.482,17.453,0.504,Neurotypical
293,55,Game Design,London,122911,5.569,5.478,52.451,0.269,Neurodiverse
294,52,Audio,Los Angeles,63660,2.822,3.564,15.021,0.179,Neurodiverse
295,23,Quality Assurance,Stockholm,74273,2.137,1.146,77.925,0.497,Neurotypical
296,52,Quality Assurance,Los Angeles,115948,8.594,2.998,82.076,0.376,Neurotypical
297,33,Production,Montreal,105020,7.974,9.82,78.516,0.658,Neurotypical
298,40,Audio,Paris,76359,9.389,8.257,25.15,0.349,Neurodiverse
299,39,Art & Animation,Los Angeles,153681,6.279,5.311,33.757,0.057,Neurotypical
300,27,Art & Animation,Montreal,144699,4.782,4.092,20.857,0.379,Neurotypical
301,26,Quality Assurance,Paris,158223,1.927,1.579,0.331,0.884,Neurotypical
302,22,Production,Tokyo,121263,8.654,1.091,6.461,0.706,Neurotypical
303,36,Art & Animation,Los Angeles,65907,5.106,7.796,98.632,0.386,Neurodiverse
304,52,Art & Animation,Montreal,128824,6.05,9.87,91.322,0.21,Neurodiverse
305,31,Programming,Paris,149731,3.822,3.284,7.945,0.566,Neurotypical
306,41,Production,Tokyo,135430,5.715,3.471,46.127,0.935,Neurotypical
307,41,Art & Animation,Montreal,149941,8.036,9.412,97.457,0.58,Neurotypical
308,49,Game Design,Montreal,140291,7.41,6.419,5.448,0.889,Neurotypical
309,57,Marketing,Tokyo,69780,9.9,2.564,66.875,0.706,Neurotypical
310,57,Quality Assurance,Tokyo,54677,5.461,1.411,10.649,0.12,Neurotypical
311,64,Management,Montreal,96548,5.767,6.072,34.796,0.703,Neurotypical
312,27,Quality Assurance,Shanghai,57122,1.475,5.073,4.708,0.606,Neurotypical
313,46,Game Design,Berlin,100794,4.504,4.889,59.839,0.36,Neurotypical
314,46,Management,Shanghai,51294,9.299,9.723,70.246,0.954,Neurodiverse
315,53,Marketing,Seoul,158078,4.154,3.366,4.144,0.33,Neurotypical
316,40,Marketing,London,98070,7.895,5.392,50.414,0.084,Neurodiverse
317,49,Game Design,Berlin,90555,9.798,2.92,29.902,0.248,Neurotypical
318,52,Audio,Stockholm,58555,2.142,3.896,70.924,0.436,Neurotypical
319,47,Audio,Los Angeles,52116,4.006,7.893,51.026,0.89,Neurotypical
320,52,Marketing,London,60547,5.269,2.776,1.68,0.029,Neurotypical
321,24,Audio,Shanghai,62710,3.136,7.088,26.549,0.797,Neurotypical
322,38,Audio,Tokyo,118097,1.112,2.167,48.747,0.277,Neurotypical
323,23,Audio,Montreal,143228,5.217,2.715,9.633,0.602,Neurotypical
324,54,Marketing,Shanghai,88807,5.83,1.208,88.56,0.379,Neurodiverse
325,36,Management,Stockholm,155704,6.629,6.674,89.657,0.264,Neurodiverse
326,63,Audio,Seoul,90636,8.445,9.913,11.26,0.507,Neurodiverse
327,47,Management,Stockholm,81086,3.277,6.908,88.33,0.374,Neurotypical
328,49,Quality Assurance,Stockholm,146091,1.549,9.31,57.254,0.393,Neurotypical
329,48,Programming,Shanghai,105417,1.809,5.738,86.563,0.161,Neurotypical
330,25,Marketing,Tokyo,85310,5.477,7.123,62.778,0.142,Neurotypical
331,54,Game Design,Berlin,89488,9.3,9.33,91.692,0.261,Neurodiverse
332,60,Audio,London,103172,9.84,1.776,45.983,0.588,Neurotypical
333,56,Art & Animation,Tokyo,132803,2.845,6.377,99.818,0.233,Neurotypical
334,43,Marketing,Vancouver,51172,2.368,6.18,85.753,0.773,Neurotypical
335,48,Production,Shanghai,89806,4.181,1.298,62.935,0.815,Neurotypical
336,50,Game Design,Los Angeles,137515,5.175,2.406,39.201,0.162,Neurotypical
337,54,Programming,Stockholm,103826,8.273,5.971,61.575,0.976,Neurotypical
338,52,Quality Assurance,Los Angeles,130221,7.971,5.479,72.896,0.266,Neurotypical
339,40,Management,London,78544,9.304,4.094,34.268,0.073,Neurotypical
340,51,Management,Stockholm,76738,8.723,7.279,54.094,0.438,Neurotypical
341,42,Production,Seoul,93635,4.949,4.242,89.02,0.182,Neurotypical
342,52,Game Design,Seoul,76670,1.171,7.92,95.234,0.784,Neurotypical
343,22,Audio,London,109665,3.129,8.283,61.815,0.115,Neurotypical
344,37,Art & Animation,Stockholm,74688,6.49,6.801,15.001,0.484,Neurotypical
